,# Tm,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,season
0,1st,Stephen Curry,21.0,GSW,58.0,58.0,1.0,29.0,0.0,80.0,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,4.7,0.077,2010
1,1st,Tyreke Evans,20.0,SAC,58.0,58.0,1.0,29.0,0.0,72.0,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,2010
2,1st,Brandon Jennings,20.0,MIL,58.0,58.0,1.0,29.0,0.0,82.0,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,4.2,0.075,2010
3,1st,Darren Collison,22.0,NOH,46.0,58.0,0.793,20.0,6.0,76.0,27.8,12.4,2.5,5.7,1.0,0.1,0.477,0.4,0.851,2.9,0.067,2010
4,1st,Taj Gibson,24.0,CHI,41.0,58.0,0.707,15.0,11.0,82.0,26.9,9.0,7.5,0.9,0.6,1.3,0.494,,0.646,4.7,0.103,2010
6,2nd,Marcus Thornton,22.0,NOH,31.0,58.0,0.534,6.0,19.0,73.0,25.6,14.5,2.9,1.6,0.8,0.2,0.451,0.374,0.814,4.0,0.103,2010
7,2nd,DeJuan Blair,20.0,SAS,30.0,58.0,0.517,6.0,18.0,82.0,18.2,7.8,6.4,0.8,0.6,0.5,0.556,0.0,0.547,4.6,0.147,2010
8,2nd,Jonny Flynn,20.0,MIN,22.0,58.0,0.379,4.0,14.0,81.0,28.9,13.5,2.4,4.4,1.0,0.0,0.417,0.358,0.826,0.1,0.002,2010
9,2nd,James Harden,20.0,OKC,22.0,58.0,0.379,4.0,14.0,76.0,22.9,9.9,3.2,1.8,1.1,0.3,0.403,0.375,0.808,4.5,0.124,2010
10,2nd,Jonas Jerebko,22.0,DET,22.0,58.0,0.379,2.0,18.0,80.0,27.9,9.3,6.0,0.7,1.0,0.4,0.481,0.313,0.71,4.4,0.095,2010
12,ORV,Wesley Matthews,23.0,UTA,16.0,58.0,0.276,3.0,10.0,82.0,24.7,9.4,2.3,1.5,0.8,0.2,0.483,0.382,0.829,4.6,0.108,2010
13,ORV,Omri Casspi,21.0,SAC,13.0,58.0,0.224,0.0,13.0,77.0,25.1,10.3,4.5,1.2,0.7,0.2,0.446,0.369,0.672,2.5,0.063,2010
14,ORV,Chase Budinger,21.0,HOU,8.0,58.0,0.138,0.0,8.0,74.0,20.1,8.9,3.0,1.2,0.5,0.1,0.441,0.369,0.77,3.1,0.1,2010
15,ORV,Jrue Holiday,19.0,PHI,7.0,58.0,0.121,1.0,5.0,73.0,24.2,8.0,2.6,3.8,1.1,0.2,0.442,0.39,0.756,1.2,0.032,2010
